epoch,accuracy,dice_coef,loss,mean_io_u_7,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_7
0,0.857684314250946,0.225081667304039,0.8216384649276733,0.37500014901161194,0.9699978828430176,0.29801514744758606,0.71550452709198,0.375
1,0.9691128730773926,0.3235798478126526,0.6910637021064758,0.3750011920928955,0.9797332286834717,0.34088757634162903,0.6687077283859253,0.375
2,0.9817754626274109,0.363739013671875,0.646832287311554,0.3750639855861664,0.9837062954902649,0.37599581480026245,0.6372700929641724,0.3752118945121765
3,0.9837883710861206,0.4183969497680664,0.5934257507324219,0.37550804018974304,0.9817280173301697,0.3967331647872925,0.6220816373825073,0.3767065405845642
4,0.9872483015060425,0.4319060146808624,0.5795947909355164,0.3758698105812073,0.98758465051651,0.3918326497077942,0.6201251149177551,0.3787246644496918
5,0.9876784682273865,0.45793235301971436,0.5538268089294434,0.37740007042884827,0.9860119223594666,0.4125615656375885,0.6027055978775024,0.38511407375335693
6,0.986923336982727,0.46983933448791504,0.5437486171722412,0.3798242509365082,0.9909979104995728,0.4074366092681885,0.6033599972724915,0.39101600646972656
7,0.9882869720458984,0.4730747938156128,0.540338933467865,0.381247341632843,0.9903703927993774,0.37183260917663574,0.6396265029907227,0.3951568603515625
8,0.9897668957710266,0.4658307433128357,0.5454469919204712,0.38477179408073425,0.9871880412101746,0.46656787395477295,0.5497767329216003,0.40872156620025635
9,0.9893674850463867,0.4691069424152374,0.5431327223777771,0.3915320038795471,0.9930526614189148,0.462150901556015,0.5461840629577637,0.43162044882774353
10,0.9889438152313232,0.497954785823822,0.5158145427703857,0.4297499358654022,0.9904434680938721,0.6743344068527222,0.33698728680610657,0.6126237511634827
11,0.9897804856300354,0.6518177390098572,0.36491018533706665,0.634800136089325,0.9877607226371765,0.7262986898422241,0.29618626832962036,0.8122271299362183
12,0.9888695478439331,0.6989623308181763,0.31997984647750854,0.7272646427154541,0.9891231656074524,0.7484487891197205,0.2710229158401489,0.8291821479797363
13,0.9908804297447205,0.7101308107376099,0.3053906261920929,0.7489823698997498,0.9882927536964417,0.774012565612793,0.24557077884674072,0.8451225757598877
14,0.9898427128791809,0.6800472140312195,0.3396986126899719,0.7599201798439026,0.9897527694702148,0.78867506980896,0.23350638151168823,0.8892948031425476
15,0.9872158169746399,0.679693877696991,0.34377408027648926,0.7745528221130371,0.9903712272644043,0.7451750040054321,0.2733747065067291,0.8610947132110596
16,0.9907125234603882,0.7020374536514282,0.3137056529521942,0.7733731865882874,0.9859798550605774,0.7887560129165649,0.2382461279630661,0.8740677237510681
17,0.9898355007171631,0.6862545609474182,0.33468422293663025,0.7906464338302612,0.987005889415741,0.7184897661209106,0.3099309504032135,0.8612107634544373
18,0.9882044196128845,0.6972194910049438,0.3255869746208191,0.7806387543678284,0.9892727732658386,0.7327039241790771,0.28569769859313965,0.8432892560958862
19,0.9904683232307434,0.7013906240463257,0.316579669713974,0.7914375066757202,0.9914038777351379,0.7780777812004089,0.23619167506694794,0.8477768301963806
20,0.9899468421936035,0.715178370475769,0.3038906157016754,0.8076782822608948,0.9913885593414307,0.7822076082229614,0.23732447624206543,0.8972058892250061
21,0.9910524487495422,0.7227396368980408,0.29354214668273926,0.8198786973953247,0.9938830137252808,0.8318809866905212,0.1782035231590271,0.9020973443984985
22,0.9914939403533936,0.6876870393753052,0.33097851276397705,0.8542380332946777,0.9885837435722351,0.7853749394416809,0.2379373013973236,0.9017482995986938
23,0.990964412689209,0.7234143018722534,0.2943590581417084,0.8434181213378906,0.9885927438735962,0.7898467183113098,0.23972520232200623,0.930283784866333
24,0.9885239601135254,0.7005271911621094,0.32190218567848206,0.8508459329605103,0.9893461465835571,0.7605515122413635,0.25727251172065735,0.8827687501907349
25,0.99142986536026,0.7324318885803223,0.2840016484260559,0.8791921138763428,0.9883720278739929,0.7614659667015076,0.26030200719833374,0.922779381275177
26,0.9911918640136719,0.7283692955970764,0.28919070959091187,0.8944317102432251,0.9889782667160034,0.7984004616737366,0.22778217494487762,0.944283127784729
27,0.9891817569732666,0.7238721251487732,0.29758191108703613,0.8808652758598328,0.9909332394599915,0.7891090512275696,0.23211510479450226,0.9537419080734253
28,0.9913225173950195,0.711407482624054,0.3055884838104248,0.8907978534698486,0.9910974502563477,0.7679053544998169,0.24892224371433258,0.9303275942802429
29,0.9912731647491455,0.7502601146697998,0.2674078643321991,0.9000835418701172,0.9889703392982483,0.7813990712165833,0.24112945795059204,0.9262255430221558
30,0.9905317425727844,0.7092762589454651,0.3105880916118622,0.8971328735351562,0.993617057800293,0.7910736203193665,0.22145602107048035,0.9188666343688965
31,0.9914638996124268,0.7211418151855469,0.2957891523838043,0.8937098383903503,0.9941962361335754,0.8548146486282349,0.15791474282741547,0.9537969827651978
32,0.9908693432807922,0.7225522398948669,0.2974131405353546,0.9226818680763245,0.9895896911621094,0.7209514379501343,0.30111661553382874,0.9408309459686279
33,0.9887999296188354,0.7127423286437988,0.3095465898513794,0.9044789671897888,0.9912111759185791,0.8048677444458008,0.21038062870502472,0.9354612827301025
34,0.9923709034919739,0.736770510673523,0.27890485525131226,0.9212965965270996,0.9913027882575989,0.8127628564834595,0.2082894742488861,0.9621866941452026
35,0.9917730093002319,0.7456924915313721,0.2707960605621338,0.9274808764457703,0.988696813583374,0.8044661283493042,0.211690753698349,0.9186550378799438
36,0.9899282455444336,0.7198026180267334,0.2996259927749634,0.9078209400177002,0.994396448135376,0.8289676308631897,0.18308515846729279,0.9536776542663574
37,0.9887504577636719,0.7335604429244995,0.2892918288707733,0.8938844203948975,0.9872714877128601,0.7956143617630005,0.22829627990722656,0.9072617888450623
38,0.9923473000526428,0.7405076622962952,0.2736622095108032,0.8977247476577759,0.9888869524002075,0.7649821043014526,0.2549456059932709,0.8914875388145447
39,0.9899749159812927,0.7478349804878235,0.27019304037094116,0.8927499055862427,0.9920942783355713,0.8220250606536865,0.1907256841659546,0.9258053302764893
40,0.9909792542457581,0.7485855221748352,0.26879069209098816,0.9174533486366272,0.9925121068954468,0.8192979097366333,0.19453220069408417,0.9471918344497681
41,0.9911616444587708,0.7547552585601807,0.26313939690589905,0.9145022034645081,0.9926112294197083,0.8157308101654053,0.19848604500293732,0.9402167201042175
42,0.9907732605934143,0.720544159412384,0.29857054352760315,0.9127547144889832,0.9938420057296753,0.8064154386520386,0.20731452107429504,0.9660549163818359
43,0.9911585450172424,0.7056868076324463,0.3138800859451294,0.9263662099838257,0.9885423183441162,0.7651413679122925,0.2625330686569214,0.939179539680481
44,0.9898859858512878,0.7357518076896667,0.28229373693466187,0.888846755027771,0.9878409504890442,0.7566925883293152,0.2690151333808899,0.9088159799575806
45,0.9920299649238586,0.7575742602348328,0.2561827600002289,0.9014790654182434,0.9906297326087952,0.7712588310241699,0.2503341734409332,0.9486755728721619
46,0.9896919131278992,0.7118666172027588,0.31333521008491516,0.9191309213638306,0.9905832409858704,0.7454338073730469,0.27740535140037537,0.9494826793670654
