epoch,accuracy,dice_coef,loss,mean_io_u,val_accuracy,val_dice_coef,val_loss,val_mean_io_u
0,0.4996199309825897,0.14100852608680725,1.0481756925582886,0.3750002086162567,0.8030936121940613,0.19620651006698608,0.8859643936157227,0.3750001788139343
1,0.8516173958778381,0.2067212462425232,0.8555321097373962,0.3750000596046448,0.9369961023330688,0.25081536173820496,0.7808396220207214,0.375
2,0.9268057942390442,0.2672336995601654,0.7682400345802307,0.375,0.9632628560066223,0.31007763743400574,0.7114220857620239,0.375
3,0.9602112174034119,0.32037150859832764,0.7039145231246948,0.375,0.9694569110870361,0.3490493595600128,0.6690836548805237,0.375
4,0.967100203037262,0.34184932708740234,0.6797186732292175,0.375,0.9727107286453247,0.3989766240119934,0.622462809085846,0.375
5,0.9741820096969604,0.3964713215827942,0.6240858435630798,0.375,0.9674984812736511,0.43465331196784973,0.5938274264335632,0.3750002086162567
6,0.9751030802726746,0.4157678186893463,0.6043830513954163,0.375,0.9779387712478638,0.41354691982269287,0.6061785221099854,0.375
7,0.9746947884559631,0.4157088100910187,0.6058242321014404,0.375,0.9715771079063416,0.4175552725791931,0.6139959692955017,0.375
8,0.9791184663772583,0.4145509898662567,0.603113055229187,0.375,0.9718044996261597,0.4634304642677307,0.5624193549156189,0.375
9,0.9786675572395325,0.4541437029838562,0.564143717288971,0.37500011920928955,0.9803591966629028,0.46567752957344055,0.5539559721946716,0.375
10,0.9795188903808594,0.43551021814346313,0.5853062272071838,0.3750007450580597,0.9862915873527527,0.4524419605731964,0.5609381198883057,0.37500137090682983
11,0.9825369119644165,0.4661041498184204,0.5508065223693848,0.37500303983688354,0.9768593907356262,0.4986876845359802,0.5305892825126648,0.37499967217445374
12,0.9817060828208923,0.4594349265098572,0.5613012909889221,0.37501105666160583,0.97841876745224,0.4843360185623169,0.5401237607002258,0.3750036060810089
13,0.9809355139732361,0.5139109492301941,0.5056379437446594,0.37500494718551636,0.9849672913551331,0.4571644067764282,0.5599820017814636,0.3750048875808716
14,0.9829165935516357,0.47191616892814636,0.5456777215003967,0.37500739097595215,0.977234423160553,0.46836501359939575,0.5529515743255615,0.37501364946365356
15,0.9852723479270935,0.47031688690185547,0.5451475381851196,0.3750050961971283,0.98783940076828,0.5702424049377441,0.44213417172431946,0.37501296401023865
16,0.9826378226280212,0.4800243079662323,0.5381029844284058,0.3750082850456238,0.9812792539596558,0.4905485510826111,0.5304930210113525,0.37502092123031616
17,0.9849697351455688,0.4866890609264374,0.5293141007423401,0.3750154674053192,0.9824880957603455,0.47428226470947266,0.5484896898269653,0.37500450015068054
18,0.9872687458992004,0.46417611837387085,0.5498391389846802,0.3750118017196655,0.9861624240875244,0.4996013939380646,0.5177831649780273,0.37501034140586853
19,0.9814939498901367,0.49341142177581787,0.5276746153831482,0.37501004338264465,0.9852526783943176,0.467838317155838,0.548264741897583,0.37501391768455505
20,0.9843584299087524,0.508362889289856,0.5091337561607361,0.37504085898399353,0.9817991852760315,0.5285475254058838,0.49352747201919556,0.37500837445259094
21,0.9862290620803833,0.4704504609107971,0.5449607968330383,0.37502917647361755,0.9817049503326416,0.4915825426578522,0.5366302132606506,0.3750462532043457
22,0.9845806360244751,0.4965079128742218,0.52166748046875,0.37502893805503845,0.9867648482322693,0.5176857113838196,0.5003050565719604,0.3750156760215759
23,0.9870792031288147,0.5134797692298889,0.5012997984886169,0.37502068281173706,0.9772339463233948,0.5120952725410461,0.5121300220489502,0.3750600516796112
24,0.9862394332885742,0.5138059258460999,0.5014815926551819,0.3750540018081665,0.9855055212974548,0.500381350517273,0.5166287422180176,0.37504586577415466
25,0.9869943857192993,0.5192515254020691,0.49603015184402466,0.375068336725235,0.9852731227874756,0.543154776096344,0.47410961985588074,0.3750538229942322
26,0.9835588932037354,0.5475219488143921,0.47144225239753723,0.375066876411438,0.9863367676734924,0.5539878606796265,0.46379831433296204,0.37506353855133057
27,0.9863256216049194,0.49950695037841797,0.5159774422645569,0.3750520348548889,0.9877299666404724,0.5127926468849182,0.49979060888290405,0.3750123977661133
28,0.9857009053230286,0.5120863318443298,0.504795491695404,0.3750315010547638,0.9856159687042236,0.5671730637550354,0.4497755765914917,0.37509655952453613
29,0.9881936311721802,0.525603711605072,0.48791754245758057,0.3750544786453247,0.9852713346481323,0.5214597582817078,0.4998456835746765,0.37502381205558777
30,0.9856463074684143,0.5169694423675537,0.5010539293289185,0.375068724155426,0.9761999845504761,0.5229389667510986,0.5015937089920044,0.3751603066921234
31,0.9869990944862366,0.552849531173706,0.46342068910598755,0.37505945563316345,0.9875242710113525,0.4995117485523224,0.5174578428268433,0.37527620792388916
32,0.9868573546409607,0.5507164597511292,0.46557366847991943,0.3750666081905365,0.987869143486023,0.5601348280906677,0.4550941288471222,0.3752768635749817
33,0.9873064756393433,0.5105605125427246,0.507035493850708,0.3752400577068329,0.989733099937439,0.5264326930046082,0.48747894167900085,0.37537771463394165
34,0.9848992824554443,0.532640814781189,0.48747459053993225,0.3755558133125305,0.9897992610931396,0.5622314810752869,0.45337918400764465,0.3769564628601074
35,0.9889630675315857,0.5623450875282288,0.4519745707511902,0.3756146728992462,0.9865583181381226,0.521288275718689,0.4975493848323822,0.37641721963882446
36,0.9871888756752014,0.5336998701095581,0.4848572909832001,0.3755892217159271,0.9852406978607178,0.5629007816314697,0.45916682481765747,0.3767572045326233
37,0.9883752465248108,0.5277255177497864,0.4884454309940338,0.375676691532135,0.9858903884887695,0.5590944886207581,0.462685763835907,0.3804185092449188
38,0.990777313709259,0.5753527283668518,0.4369519352912903,0.3776543140411377,0.9867744445800781,0.5238912105560303,0.4967798590660095,0.38451719284057617
39,0.9812704920768738,0.5691126585006714,0.4555433392524719,0.3778296113014221,0.9876586198806763,0.5729928612709045,0.4438129663467407,0.38049858808517456
40,0.9874445199966431,0.5759066939353943,0.4398336708545685,0.3789188265800476,0.9879652261734009,0.4983453154563904,0.5182942748069763,0.38687026500701904
41,0.9881879091262817,0.5436316132545471,0.4737134277820587,0.37897929549217224,0.9843951463699341,0.5436268448829651,0.4794214069843292,0.39056551456451416
42,0.9866282343864441,0.5531405806541443,0.4660075604915619,0.38136526942253113,0.9864500761032104,0.5893454551696777,0.43105560541152954,0.398650586605072
43,0.9861685633659363,0.5694748163223267,0.4506615996360779,0.3828328549861908,0.9854463934898376,0.5172885060310364,0.5032715201377869,0.40373191237449646
44,0.9870693683624268,0.5542015433311462,0.4663195013999939,0.38725510239601135,0.9880340099334717,0.5863630771636963,0.43160268664360046,0.418497771024704
45,0.9865630269050598,0.5601119995117188,0.4578917920589447,0.39826542139053345,0.9870599508285522,0.576953649520874,0.44070741534233093,0.4391877353191376
46,0.9873288869857788,0.5691921710968018,0.44762367010116577,0.4069778323173523,0.9902060627937317,0.6079826951026917,0.4071331322193146,0.4515320658683777
47,0.9860122203826904,0.5929152965545654,0.4288536608219147,0.4094632565975189,0.9801248908042908,0.53902667760849,0.505659818649292,0.49219486117362976
48,0.9881388545036316,0.5560010671615601,0.46410590410232544,0.4458516836166382,0.9868618249893188,0.571930468082428,0.44487887620925903,0.5197678208351135
49,0.9882056713104248,0.5897115468978882,0.4272220730781555,0.46482253074645996,0.9892707467079163,0.6029784679412842,0.41470828652381897,0.5449828505516052
50,0.9850806593894958,0.5647119283676147,0.4593293070793152,0.48863184452056885,0.9865807890892029,0.5891427993774414,0.4350692927837372,0.5800575017929077
51,0.9881837368011475,0.5921886563301086,0.4281996190547943,0.5497310161590576,0.987025260925293,0.5910386443138123,0.4296817183494568,0.6542911529541016
52,0.9876528382301331,0.5899534225463867,0.4280504584312439,0.5908887386322021,0.982873797416687,0.5832993984222412,0.44416606426239014,0.7034595608711243
53,0.9838733673095703,0.6016278862953186,0.4311657249927521,0.6448057889938354,0.9875397086143494,0.5642042756080627,0.4575690031051636,0.7704863548278809
54,0.9887036681175232,0.6277952194213867,0.3907304108142853,0.6912379264831543,0.9913456439971924,0.6526974439620972,0.3644419312477112,0.8329490423202515
55,0.9891988039016724,0.6786660552024841,0.3415377736091614,0.7842158079147339,0.9837735295295715,0.6766248941421509,0.35805800557136536,0.8859018087387085
56,0.9868307709693909,0.6864403486251831,0.3394692540168762,0.8324292898178101,0.9908097386360168,0.7402191758155823,0.2773539423942566,0.9146885871887207
57,0.98984295129776,0.7166594862937927,0.30320459604263306,0.8754487037658691,0.9896730780601501,0.6962171196937561,0.32295915484428406,0.9375630617141724
58,0.9856561422348022,0.6937328577041626,0.3340579867362976,0.87364262342453,0.9896414279937744,0.7195882201194763,0.3015022575855255,0.9533818364143372
59,0.9862608313560486,0.6946916580200195,0.33298009634017944,0.8959444761276245,0.9887205958366394,0.7219801545143127,0.30014050006866455,0.9412686824798584
60,0.9864150285720825,0.6881875395774841,0.33900171518325806,0.8911029100418091,0.9852735996246338,0.7123825550079346,0.3132636845111847,0.9150978922843933
61,0.9888616800308228,0.7336733341217041,0.2863444685935974,0.8973269462585449,0.9925333261489868,0.7238687872886658,0.28756973147392273,0.940739631652832
62,0.9866356253623962,0.7115357518196106,0.3131696581840515,0.903249979019165,0.990027129650116,0.7099128365516663,0.30698448419570923,0.954487681388855
63,0.9881352186203003,0.6835702061653137,0.3386114835739136,0.9146019816398621,0.9843047857284546,0.7765539884567261,0.24876348674297333,0.9264686107635498
64,0.989277184009552,0.7104028463363647,0.3085193932056427,0.916366696357727,0.9903554916381836,0.7189330458641052,0.3019740581512451,0.9611988067626953
65,0.9895141124725342,0.7105618119239807,0.3093878924846649,0.9295888543128967,0.9861236810684204,0.6549364328384399,0.37468358874320984,0.9485774040222168
66,0.9878860712051392,0.6943773031234741,0.3275894522666931,0.9122991561889648,0.9894545674324036,0.7333872318267822,0.28627949953079224,0.9469574689865112
67,0.9887940287590027,0.7049861550331116,0.3147925138473511,0.91147780418396,0.9892938137054443,0.6955060958862305,0.32448914647102356,0.9448447823524475
68,0.9867944121360779,0.7021760940551758,0.32242923974990845,0.9020535945892334,0.988993227481842,0.7290015816688538,0.2883104085922241,0.9356235265731812
69,0.9864645600318909,0.7344983816146851,0.2910498380661011,0.9083387851715088,0.9844141006469727,0.722541868686676,0.3048971891403198,0.9378523826599121
70,0.9856406450271606,0.7310978174209595,0.2935548722743988,0.9093034267425537,0.9928299784660339,0.7222195267677307,0.29187291860580444,0.9659394025802612
71,0.98659348487854,0.7081860899925232,0.3167691230773926,0.910728394985199,0.989656388759613,0.667586624622345,0.35769033432006836,0.9567486047744751
72,0.9872176051139832,0.6824912428855896,0.3411465883255005,0.9171249866485596,0.983504056930542,0.7227895259857178,0.30657902359962463,0.932294487953186
