epoch,dice_ET,dice_NETC,dice_RC,dice_SNFH,dice_bg,dice_coef,dice_tumor_core,dice_whole_tumor,learning_rate,loss,val_dice_ET,val_dice_NETC,val_dice_RC,val_dice_SNFH,val_dice_bg,val_dice_coef,val_dice_tumor_core,val_dice_whole_tumor,val_loss
0,0.8186939358711243,0.830142080783844,0.8459678292274475,0.866677463054657,0.9953712224960327,0.7405226826667786,0.833742618560791,0.8544654250144958,9.999999747378752e-05,0.30856940150260925,0.3420664966106415,0.8146712779998779,0.8340857625007629,0.7832898497581482,0.9948311448097229,0.6607698202133179,0.824268639087677,0.8356663584709167,0.4125272333621979
1,0.8372357487678528,0.8384652137756348,0.8491654396057129,0.8809459805488586,0.9956074357032776,0.7484942674636841,0.8415636420249939,0.8647693991661072,9.999999747378752e-05,0.29402485489845276,0.3979116976261139,0.8177284002304077,0.821778416633606,0.796476423740387,0.9949490427970886,0.6718053221702576,0.8266203999519348,0.8388411402702332,0.3943943977355957
2,0.854626476764679,0.8372824192047119,0.8456888794898987,0.8826847076416016,0.9954556822776794,0.7491832971572876,0.8401012420654297,0.8614080548286438,9.999999747378752e-05,0.2927919030189514,0.384041428565979,0.8201373815536499,0.845481812953949,0.7709691524505615,0.994987964630127,0.6288271546363831,0.8283756375312805,0.8366453647613525,0.43749549984931946
3,0.800796389579773,0.8422175049781799,0.8470092415809631,0.8714913725852966,0.9957379698753357,0.7561944723129272,0.8445634841918945,0.8634235858917236,9.999999747378752e-05,0.28461262583732605,0.38954654335975647,0.8290628790855408,0.8114487528800964,0.7781282663345337,0.994912326335907,0.6232002377510071,0.838325023651123,0.8470362424850464,0.4432065784931183
4,0.8288326859474182,0.837276816368103,0.8604709506034851,0.8797659873962402,0.9957458972930908,0.7718472480773926,0.8404300808906555,0.86153644323349,9.999999747378752e-05,0.2676113247871399,0.33846965432167053,0.8296953439712524,0.8148906826972961,0.7707054615020752,0.9951397776603699,0.6698275208473206,0.8375388979911804,0.8441348671913147,0.3955722153186798
5,0.8442729711532593,0.8181199431419373,0.8609089255332947,0.8458941578865051,0.9955708384513855,0.747153103351593,0.8215641975402832,0.8417842388153076,9.999999747378752e-05,0.2962632477283478,0.37939465045928955,0.8156587481498718,0.8455695509910583,0.7922799587249756,0.9951111674308777,0.6599360704421997,0.8242639899253845,0.8348391056060791,0.4018567204475403
6,0.8904924988746643,0.8503939509391785,0.8653277158737183,0.8960488438606262,0.9959450364112854,0.774570643901825,0.8543750643730164,0.8764398694038391,9.999999747378752e-05,0.26095500588417053,0.6022197008132935,0.8459537029266357,0.8437318205833435,0.7917769551277161,0.9955407977104187,0.6748486757278442,0.8487027883529663,0.8556155562400818,0.37174680829048157
7,0.8295361399650574,0.8378636240959167,0.864078164100647,0.8859099745750427,0.9957333207130432,0.7653401494026184,0.8411129117012024,0.8638193607330322,9.999999747378752e-05,0.2751002609729767,0.4315548241138458,0.8210164308547974,0.840214192867279,0.7389892935752869,0.9951155185699463,0.6549666523933411,0.8302191495895386,0.8366178870201111,0.40993955731391907
8,0.8864421248435974,0.8473494648933411,0.8680813908576965,0.89549720287323,0.9958069324493408,0.7806714177131653,0.8507925868034363,0.873516321182251,9.999999747378752e-05,0.25732991099357605,0.6540483236312866,0.8351158499717712,0.8512277603149414,0.8027691841125488,0.9953114986419678,0.669995129108429,0.8394323587417603,0.8485816121101379,0.3818579912185669
9,0.8079778552055359,0.8463460206985474,0.8592363595962524,0.8865368962287903,0.995678186416626,0.7739905714988708,0.8486372232437134,0.8695672154426575,9.999999747378752e-05,0.2674388885498047,0.4588988423347473,0.8340386152267456,0.8137610554695129,0.7992715239524841,0.9955422878265381,0.6499453186988831,0.8433740139007568,0.8545043468475342,0.4082944095134735
10,0.8625637292861938,0.842755913734436,0.8604159951210022,0.8671721816062927,0.9957888722419739,0.7832431793212891,0.8448991775512695,0.8624376654624939,9.999999747378752e-05,0.2554530203342438,0.4415409564971924,0.8267338275909424,0.8046849966049194,0.7859864830970764,0.9949556589126587,0.6298420429229736,0.8354477882385254,0.8454403877258301,0.4383604824542999
11,0.857215940952301,0.8301876783370972,0.8558927178382874,0.8795759081840515,0.9953110218048096,0.7819280624389648,0.835173487663269,0.8586004972457886,9.999999747378752e-05,0.2637135088443756,0.42528876662254333,0.8216602206230164,0.8134244084358215,0.7937527894973755,0.9954665303230286,0.7344161868095398,0.8319929838180542,0.8438357710838318,0.32571691274642944
12,0.8522167205810547,0.8526422381401062,0.8765847682952881,0.8918720483779907,0.996048092842102,0.8005826473236084,0.8553817272186279,0.8739535808563232,9.999999747378752e-05,0.2341032177209854,0.566091775894165,0.8396809697151184,0.8546784520149231,0.8009270429611206,0.9955340623855591,0.682141125202179,0.8437942862510681,0.8538447022438049,0.36769774556159973
13,0.8362562656402588,0.837905764579773,0.8730484247207642,0.8767061829566956,0.995728075504303,0.7765315771102905,0.8407506346702576,0.8624430894851685,9.999999747378752e-05,0.26445120573043823,0.4131025969982147,0.8205912709236145,0.8500064611434937,0.77204829454422,0.9951429963111877,0.70513916015625,0.8298484683036804,0.8394976258277893,0.3599354028701782
14,0.8644251227378845,0.8423082232475281,0.8798523545265198,0.8827798962593079,0.995790958404541,0.7948419451713562,0.846844494342804,0.866696298122406,9.999999747378752e-05,0.24358919262886047,0.3232308328151703,0.8233293294906616,0.8539714813232422,0.698114812374115,0.9953893423080444,0.7122067213058472,0.8338298797607422,0.8364467024803162,0.35300764441490173
15,0.8274754881858826,0.8464188575744629,0.863919198513031,0.8735650777816772,0.996033251285553,0.7801156044006348,0.8493748903274536,0.8694220185279846,9.999999747378752e-05,0.25802040100097656,0.3472634255886078,0.8239287734031677,0.8479329943656921,0.7022275924682617,0.9951510429382324,0.6771503686904907,0.834280252456665,0.8371397256851196,0.3917308747768402
16,0.7800651788711548,0.8428997993469238,0.8664270043373108,0.8676909804344177,0.9960189461708069,0.7830462455749512,0.8454042077064514,0.8641034364700317,9.999999747378752e-05,0.25443750619888306,0.641452431678772,0.8411416411399841,0.8411864638328552,0.8314365744590759,0.9955020546913147,0.7033207416534424,0.8450832962989807,0.8581717014312744,0.34463176131248474
17,0.8815070986747742,0.8500980734825134,0.8843455910682678,0.8841965794563293,0.996288537979126,0.787359893321991,0.8525580167770386,0.870232343673706,9.999999747378752e-05,0.24518291652202606,0.43513959646224976,0.8300396203994751,0.8216529488563538,0.7876995205879211,0.9952243566513062,0.714501142501831,0.8397659063339233,0.8495625257492065,0.3501286804676056
18,0.8233324289321899,0.8608250021934509,0.8966494202613831,0.8949923515319824,0.9962950348854065,0.8050952553749084,0.8630279898643494,0.8804647326469421,9.999999747378752e-05,0.22689653933048248,0.6388589143753052,0.8414028882980347,0.8260663151741028,0.8190271258354187,0.9958224892616272,0.7002551555633545,0.8459451198577881,0.8589446544647217,0.3472369611263275
