epoch,dice_ET,dice_NETC,dice_RC,dice_SNFH,dice_bg,dice_coef,dice_tumor_core,dice_whole_tumor,learning_rate,loss,val_dice_ET,val_dice_NETC,val_dice_RC,val_dice_SNFH,val_dice_bg,val_dice_coef,val_dice_tumor_core,val_dice_whole_tumor,val_loss
0,0.00539783202111721,0.3749748766422272,0.018166374415159225,0.0919741839170456,0.9327117204666138,0.16239020228385925,0.3246738314628601,0.32949239015579224,0.0010000000474974513,1.1421372890472412,0.01070474088191986,0.7247470021247864,0.03371720016002655,0.5454806685447693,0.9847504496574402,0.2882344126701355,0.7209205031394958,0.7288331985473633,0.8188930749893188
1,0.02537986822426319,0.6831077933311462,0.14060677587985992,0.653564989566803,0.9882793426513672,0.33105242252349854,0.6796815395355225,0.7126985192298889,0.0010000000474974513,0.7557781934738159,0.06331529468297958,0.7088721990585327,0.19786104559898376,0.665012538433075,0.9884306192398071,0.37514108419418335,0.7060772180557251,0.7222323417663574,0.7259582281112671
2,0.06659813225269318,0.7319920063018799,0.2752942442893982,0.7141395807266235,0.990559458732605,0.40057671070098877,0.7296505570411682,0.7613577842712402,0.0010000000474974513,0.6797415018081665,0.16124723851680756,0.7133044004440308,0.35352641344070435,0.6849787831306458,0.9854823350906372,0.4273483157157898,0.710594654083252,0.7332859635353088,0.7024742960929871
3,0.0975455641746521,0.7464277744293213,0.31844544410705566,0.7419150471687317,0.9912901520729065,0.4219833016395569,0.7463563680648804,0.7792283892631531,0.0010000000474974513,0.6554685831069946,0.15660828351974487,0.7485678791999817,0.5592769384384155,0.7857751250267029,0.9905336499214172,0.45930415391921997,0.7443674802780151,0.774043083190918,0.616139829158783
4,0.1270785629749298,0.7722694277763367,0.34605181217193604,0.7448084950447083,0.9921914935112,0.4445844888687134,0.7709686160087585,0.7996283769607544,0.0010000000474974513,0.6294050216674805,0.21011212468147278,0.7957622408866882,0.5086807608604431,0.7790756821632385,0.9917952418327332,0.48694872856140137,0.7963962554931641,0.8277889490127563,0.5820488929748535
5,0.15384680032730103,0.7809221148490906,0.4362928569316864,0.7809969186782837,0.9929908514022827,0.4671810269355774,0.7799710035324097,0.8119925260543823,0.0010000000474974513,0.5955937504768372,0.20257745683193207,0.8094812035560608,0.5405152440071106,0.8225155472755432,0.9919983148574829,0.5116327404975891,0.8046672344207764,0.829003095626831,0.5506433844566345
6,0.15438157320022583,0.8003021478652954,0.4849240779876709,0.7830697298049927,0.993686318397522,0.47546374797821045,0.8001388311386108,0.8285945057868958,0.0010000000474974513,0.5842026472091675,0.2951216995716095,0.8143485188484192,0.6108677387237549,0.8028917908668518,0.9923745393753052,0.5374247431755066,0.8133789300918579,0.8382514119148254,0.5255937576293945
7,0.1913124918937683,0.8051604628562927,0.5134828686714172,0.8028767108917236,0.9940395355224609,0.5005660057067871,0.8075031042098999,0.8357423543930054,0.0010000000474974513,0.5559869408607483,0.1475944072008133,0.765957772731781,0.6001148223876953,0.7672132849693298,0.991195559501648,0.4880853593349457,0.7908834218978882,0.809026837348938,0.5930355787277222
8,0.21328423917293549,0.8105425834655762,0.5721615552902222,0.8096293807029724,0.9942653775215149,0.509762167930603,0.8109695315361023,0.8383862972259521,0.0010000000474974513,0.5444611310958862,0.303223192691803,0.8190049529075623,0.5948745608329773,0.8501101732254028,0.9941707253456116,0.5620782375335693,0.8170667290687561,0.8443548679351807,0.4927024245262146
9,0.20745213329792023,0.8125017285346985,0.5831091403961182,0.8154311180114746,0.9943343997001648,0.513154923915863,0.8158280849456787,0.8416534662246704,0.0010000000474974513,0.5407552719116211,0.2651640474796295,0.7670639157295227,0.5320520401000977,0.8338200449943542,0.992337703704834,0.525945782661438,0.7792739272117615,0.808580219745636,0.5554224848747253
