epoch,loss,dice_coef,dice_bg,dice_NETC,dice_SNFH,dice_ET,dice_RC,dice_tumor_core,dice_whole_tumor,val_loss,val_dice_coef,val_dice_bg,val_dice_NETC,val_dice_SNFH,val_dice_ET,val_dice_RC,val_dice_tumor_core,val_dice_whole_tumor,lr
1,0.9428926787994526,0.23130542457581432,0.9725104255218929,0.020132128025433144,0.5205952487067039,0.1984102851069257,0.18608403646419447,0.17793823663353167,0.49685768121452967,0.6861022512118021,0.5362909098140413,0.9943928443358155,0.10929422288393499,0.7171260593250769,0.753758968329576,0.5649843887175771,0.7048549361526556,0.7583415141618342,0.001
2,0.6860685425776022,0.5530626568861285,0.9933587715792637,0.13351607662345066,0.7604470450701953,0.7681334744025338,0.5501540314483345,0.6837853840823748,0.7979242852770583,0.6405433168013891,0.6157485382347712,0.9953457904294961,0.22212528524426858,0.7633902352911369,0.7843768860804572,0.6931017463232216,0.7602787644296264,0.798520694205892,0.001
3,0.6511645841377752,0.5961655768053427,0.9937866410766137,0.22687549162135645,0.7751559526454352,0.7953931950574601,0.5872376678971187,0.7341510517378862,0.8084370769653861,0.6461787134408951,0.5999281841153502,0.9946770589406181,0.16271496840050634,0.749321165347036,0.8190218760056531,0.6686547267082051,0.7872489963417337,0.7870770030759004,0.001
4,0.6445730947234013,0.5803836864238868,0.9929507642245624,0.18519608554565728,0.7587532613818732,0.793593941835611,0.5839914569324058,0.7390741266187348,0.7915102136673366,0.581554173429807,0.5112117214487621,0.992863912452979,0.00036341353513193636,0.7561522853646,0.8116997663207446,0.47663142057457225,0.7802283120058671,0.7917445724444275,0.001
5,0.5839391699543706,0.5559227525428679,0.9941844605942618,0.0006612845961357384,0.8001734248636206,0.8086613502027578,0.6141949505089578,0.7620474575017402,0.8227141107267344,0.5706120312213898,0.5700738371447528,0.9960461677644614,0.00037589316756852267,0.7967671423226184,0.7875009856022384,0.695651327486586,0.7621278175569715,0.8279253554952143,0.001
6,0.5839919770757357,0.5524752532650349,0.9939780053789188,0.0059236407604449925,0.7883152288847889,0.8238920230742356,0.5917701203406703,0.7739104229437801,0.8129961093599397,0.5082693373163542,0.5796236174912471,0.9962964352614208,0.0009849542102895392,0.7976363460492603,0.8379527594486752,0.6819204102567635,0.7935138362341836,0.819269933642199,0.001
7,0.5692323857711421,0.5732939284355235,0.9945593451843596,0.03790120806712791,0.8092513001027306,0.8322484462382679,0.6137747593339675,0.777121824521555,0.8284407977771961,0.5685261855522792,0.5695123159499255,0.9958660827178489,0.0014944487046393256,0.7856948526540712,0.8169137463816988,0.6739462160592926,0.7660011193798419,0.813123284181268,0.001
8,0.5565777465701103,0.5796950015696379,0.9947469882416763,0.026451223896213467,0.8173743198294839,0.8292332231377252,0.6457212394151289,0.7812341795173503,0.8369680795978096,0.5941243703166644,0.5208137754402795,0.9946941627318202,0.022170228386210446,0.6781398852211785,0.7147454245259572,0.6681995636277718,0.6646986714864227,0.6897472509822251,0.001
9,0.543320739545204,0.6388079686556993,0.9943917988623581,0.3040652297664771,0.8038600573516428,0.8131665958389988,0.6341399916656785,0.7804126335298524,0.827043461961908,0.5227855831384659,0.6911320625080315,0.995185714978929,0.4921558315390356,0.7726898446614663,0.8195268961800526,0.6801556776515713,0.8050151077006599,0.808830520008053,0.001
10,0.5681003044876788,0.6144862421481603,0.9940559750369178,0.24771741815451687,0.7955360913811619,0.8161391309847278,0.5985523280722345,0.7717006108179596,0.8194795092276802,0.5436417718728384,0.5770553130520177,0.9957705276652771,0.0023828210060032554,0.77461259889893,0.8285948744722378,0.7026309578308999,0.7756880080545975,0.8017394495164916,0.001
