epoch,dice_ET,dice_NETC,dice_RC,dice_SNFH,dice_bg,dice_coef,dice_tumor_core,dice_whole_tumor,learning_rate,loss,val_dice_ET,val_dice_NETC,val_dice_RC,val_dice_SNFH,val_dice_bg,val_dice_coef,val_dice_tumor_core,val_dice_whole_tumor,val_loss
0,0.12365656346082687,0.005343580152839422,0.05470452457666397,0.1736338883638382,0.8124893307685852,0.09805584698915482,0.08876872062683105,0.18039295077323914,0.0010000000474974513,1.6752257347106934,0.2837753891944885,0.0048766289837658405,0.1394331306219101,0.3086918890476227,0.9390291571617126,0.15726415812969208,0.18296433985233307,0.2946959435939789,1.1469475030899048
1,0.49702519178390503,0.025419142097234726,0.21864598989486694,0.564572274684906,0.9763920307159424,0.2862355411052704,0.37218841910362244,0.5694538950920105,0.0010000000474974513,0.8752089738845825,0.5970805287361145,0.03044848144054413,0.3420833349227905,0.5791299343109131,0.9885658621788025,0.3125852346420288,0.46711844205856323,0.5956645607948303,0.7674567699432373
2,0.6968522667884827,0.08446436375379562,0.4071618914604187,0.7000775337219238,0.9901058673858643,0.39678627252578735,0.6104801893234253,0.7344083786010742,0.0010000000474974513,0.6949575543403625,0.6739854216575623,0.11891011893749237,0.5221147537231445,0.6764004230499268,0.991874635219574,0.3698197305202484,0.6401500701904297,0.7122095227241516,0.6929307579994202
3,0.7034988403320312,0.15129812061786652,0.45375603437423706,0.7240990400314331,0.9916225075721741,0.42301836609840393,0.6426162719726562,0.7641056180000305,0.0010000000474974513,0.6602752208709717,0.6831204891204834,0.21335162222385406,0.5659833550453186,0.7290571331977844,0.993709921836853,0.42006969451904297,0.646545946598053,0.7732906341552734,0.6356914639472961
4,0.7324317097663879,0.1929115653038025,0.4879745543003082,0.7508955597877502,0.9923903346061707,0.4496367573738098,0.6717202067375183,0.787824809551239,0.0010000000474974513,0.6297740340232849,0.7335915565490723,0.25605469942092896,0.5153200626373291,0.6896790862083435,0.9944970607757568,0.43107664585113525,0.6845078468322754,0.765881359577179,0.6183053851127625
5,0.7448696494102478,0.25833961367607117,0.5060740113258362,0.7583666443824768,0.992693305015564,0.4658576548099518,0.7054882049560547,0.7896926403045654,0.0010000000474974513,0.6106220483779907,0.7492998838424683,0.28427359461784363,0.6374028921127319,0.7098757028579712,0.9945068955421448,0.4330039322376251,0.7123885154724121,0.7710626125335693,0.6130229830741882
6,0.7473054528236389,0.29189369082450867,0.5600223541259766,0.7767120003700256,0.9933528304100037,0.48207804560661316,0.7070485949516296,0.8071694374084473,0.0010000000474974513,0.5885276198387146,0.7874436974525452,0.3519865572452545,0.7101841568946838,0.7453020811080933,0.9959860444068909,0.4753965735435486,0.7575742602348328,0.7853725552558899,0.5709633231163025
7,0.7678066492080688,0.3676598370075226,0.5651561617851257,0.7878338098526001,0.9937182664871216,0.4990723729133606,0.7371456623077393,0.8167868852615356,0.0010000000474974513,0.567497968673706,0.7700797915458679,0.36995983123779297,0.6805729866027832,0.7339450716972351,0.9957571625709534,0.45995014905929565,0.7317380905151367,0.7775723934173584,0.5818074345588684
8,0.7815995216369629,0.37006404995918274,0.5779092907905579,0.789790689945221,0.9938258528709412,0.5027329921722412,0.7458233833312988,0.8176199793815613,0.0010000000474974513,0.562375545501709,0.7775096297264099,0.4836483597755432,0.7185938358306885,0.7824068665504456,0.9958279728889465,0.5153787136077881,0.7661771178245544,0.8161885142326355,0.5244516134262085
9,0.7737979292869568,0.34919893741607666,0.6155620813369751,0.8108444213867188,0.99446702003479,0.5110334157943726,0.7384457588195801,0.835036039352417,0.0010000000474974513,0.5530616641044617,0.7774096727371216,0.2906007170677185,0.6344253420829773,0.772214949131012,0.9955878257751465,0.5068986415863037,0.7042261958122253,0.8014616370201111,0.5309006571769714
10,0.7793092727661133,0.42042866349220276,0.6408887505531311,0.8144484758377075,0.9945826530456543,0.524047315120697,0.7530421614646912,0.837898313999176,0.0010000000474974513,0.5360754728317261,0.8302687406539917,0.5747001767158508,0.5768292546272278,0.7414988875389099,0.9953006505966187,0.5224052667617798,0.8228961229324341,0.7946242690086365,0.5236795544624329
11,0.7984697818756104,0.48359259963035583,0.6260873079299927,0.8128505349159241,0.9946178793907166,0.5420433282852173,0.7798081040382385,0.8368055820465088,0.0010000000474974513,0.516528844833374,0.8029959201812744,0.4278768002986908,0.6834371089935303,0.746552586555481,0.9944661855697632,0.526726484298706,0.7719142436981201,0.7901366353034973,0.5180218815803528
12,0.7930601835250854,0.4316461384296417,0.618389904499054,0.81369948387146,0.994670033454895,0.5462424755096436,0.7674360275268555,0.8377531170845032,0.0010000000474974513,0.514536440372467,0.7891578674316406,0.4447934627532959,0.7234517335891724,0.8085959553718567,0.9961419701576233,0.5420405864715576,0.7628620266914368,0.8405052423477173,0.49285081028938293
13,0.7798597812652588,0.4699156880378723,0.6535543203353882,0.8259422183036804,0.9948287606239319,0.546233594417572,0.7599958181381226,0.847663938999176,0.0010000000474974513,0.5114486813545227,0.7777298092842102,0.5041439533233643,0.7438178658485413,0.8078620433807373,0.99676114320755,0.5302475690841675,0.7650544047355652,0.8410631418228149,0.5043823719024658
14,0.7980925440788269,0.4663812816143036,0.6698711514472961,0.8330450057983398,0.9951745271682739,0.5561179518699646,0.7743687629699707,0.8531529903411865,0.0010000000474974513,0.500087320804596,0.8408660292625427,0.5776507258415222,0.7399219870567322,0.8129047155380249,0.9964209198951721,0.5514678955078125,0.8308858275413513,0.8462591171264648,0.4859001934528351
15,0.8060582876205444,0.5366283655166626,0.6688697934150696,0.8355090022087097,0.9950985312461853,0.5681192278862,0.794040322303772,0.8554131388664246,0.0010000000474974513,0.4874041974544525,0.795810341835022,0.6749210357666016,0.7380329370498657,0.7771600484848022,0.9963673949241638,0.5351380109786987,0.8062034249305725,0.8143553137779236,0.4994831085205078
16,0.7881198525428772,0.5327135324478149,0.700170636177063,0.838053286075592,0.9953108429908752,0.5733996629714966,0.7755811214447021,0.8581252694129944,0.0010000000474974513,0.4805109202861786,0.7933451533317566,0.4457820951938629,0.732652485370636,0.8059781789779663,0.9965660572052002,0.5481969118118286,0.7736147046089172,0.8314382433891296,0.4847840666770935
17,0.8033406138420105,0.5451436042785645,0.6936445236206055,0.8386924266815186,0.9953127503395081,0.5816484689712524,0.7895223498344421,0.8579409718513489,0.0010000000474974513,0.47334471344947815,0.8339130878448486,0.502605140209198,0.7238022089004517,0.832140326499939,0.9964573383331299,0.5951930284500122,0.8208723664283752,0.8540719747543335,0.4474744200706482
18,0.7935830950737,0.5115018486976624,0.6749311685562134,0.8324912190437317,0.9949174523353577,0.5841094851493835,0.7785724997520447,0.8503333330154419,0.0010000000474974513,0.47659212350845337,0.8021924495697021,0.6582134962081909,0.7861279249191284,0.7751209139823914,0.9959347248077393,0.5722072720527649,0.8015183210372925,0.8084700703620911,0.4775465726852417
19,0.7561835646629333,0.44307833909988403,0.6502264738082886,0.8217980265617371,0.9948256015777588,0.5633230805397034,0.741931140422821,0.8468016982078552,0.0010000000474974513,0.5058929324150085,0.8066824674606323,0.567375659942627,0.7407399415969849,0.8159841299057007,0.9965143203735352,0.5824814438819885,0.8058732748031616,0.8445610404014587,0.45209065079689026
20,0.8125695586204529,0.5165661573410034,0.6951911449432373,0.8494548797607422,0.9955862760543823,0.6019923686981201,0.7955480813980103,0.8659850358963013,0.0010000000474974513,0.45697298645973206,0.8491424322128296,0.5803751349449158,0.7630162239074707,0.8231246471405029,0.9966585636138916,0.6200564503669739,0.8362350463867188,0.847325325012207,0.4237859547138214
21,0.8051029443740845,0.48577964305877686,0.7013130187988281,0.8414173722267151,0.9953937530517578,0.6025272011756897,0.7893748879432678,0.8597221970558167,0.0010000000474974513,0.4630446135997772,0.8348627090454102,0.5822846293449402,0.7575910091400146,0.8113449215888977,0.9964714646339417,0.6177738308906555,0.8189787864685059,0.8343408107757568,0.4229884147644043
22,0.8015320301055908,0.5619760155677795,0.6849625110626221,0.8476877212524414,0.9954169392585754,0.6088359951972961,0.7910633683204651,0.8656516671180725,0.0010000000474974513,0.450957715511322,0.8269942402839661,0.597274124622345,0.6464963555335999,0.8077738881111145,0.9961690902709961,0.5634083151817322,0.821607768535614,0.8313896059989929,0.48570236563682556
23,0.8015172481536865,0.5249782800674438,0.701681911945343,0.8369818329811096,0.995363175868988,0.5962594151496887,0.7884283661842346,0.8580380082130432,0.0010000000474974513,0.46525105834007263,0.8361732959747314,0.6876072883605957,0.7594049572944641,0.8243094086647034,0.996715247631073,0.6146304607391357,0.8378632068634033,0.8556530475616455,0.41608044505119324
24,0.8038381338119507,0.5874763131141663,0.7092248797416687,0.8543859124183655,0.9956339597702026,0.6195753216743469,0.7972890138626099,0.8703180551528931,0.0010000000474974513,0.4382833242416382,0.782346248626709,0.6718410849571228,0.7031798958778381,0.8034170866012573,0.9963903427124023,0.6445016264915466,0.7932671904563904,0.8388206958770752,0.40251436829566956
25,0.8065921664237976,0.5411399602890015,0.6786139607429504,0.8360944986343384,0.9951696395874023,0.5911623239517212,0.7944241762161255,0.8551643490791321,0.0010000000474974513,0.4801758825778961,0.8229357600212097,0.6141161918640137,0.6111750602722168,0.7736772894859314,0.9957339763641357,0.5628492832183838,0.8183106780052185,0.805109441280365,0.48308467864990234
