phase,global_epoch,epoch,phase_start,dice_ET,dice_NETC,dice_RC,dice_SNFH,dice_bg,dice_coef,dice_tumor_core,dice_whole_tumor,learning_rate,loss,val_dice_ET,val_dice_NETC,val_dice_RC,val_dice_SNFH,val_dice_bg,val_dice_coef,val_dice_tumor_core,val_dice_whole_tumor,val_loss
1,1,0,True,3.177697180944961e-06,0.0032567291054874,0.0003108007076662,0.0002310355048393,0.8719495534896851,0.7727770209312439,0.0032446135301142,0.0032253817189484,0.0010000000474974,0.5651870965957642,2.658450284798164e-06,0.0007441831403411,0.0001625453005544,7.941950570966583e-06,0.9352065324783324,0.878271222114563,0.0006593544385395,0.0006443887250497,0.2541209459304809
1,2,1,False,1.5012474250397643e-05,0.0030935970135033,0.0002268967509735,0.0004358098085504,0.9860773086547852,0.9725071787834167,0.0028755578678101,0.003236872376874,0.0010000000474974,0.0595626384019851,2.0835444956901483e-05,0.0018129643285647,0.0002421310782665,4.337468635640107e-05,0.9912718534469604,0.982684314250946,0.0015529844677075,0.0017372273141518,0.0368418470025062
1,3,2,False,2.5839479349087924e-05,0.0049945567734539,0.0004039346531499,0.0009032224188558,0.9944952130317688,0.98903226852417,0.0042138476856052,0.0050529954023659,0.0010000000474974,0.0266839936375617,4.830337638850324e-05,0.0051395897753536,0.0003635071334429,0.0001150899406638,0.9961966276168824,0.992414653301239,0.0041039055213332,0.0041027050465345,0.0168806798756122
1,4,3,False,3.97757175960578e-05,0.0157629903405904,0.0005052394117228,0.0013615662464872,0.9968485832214355,0.9936997294425964,0.0123688979074358,0.0133084980770945,0.0010000000474974,0.0167682822793722,8.314321894431487e-05,0.0163785126060247,0.0004751971864607,0.0002123691956512,0.997754156589508,0.9955086708068848,0.012523291632533,0.0121923526749014,0.0104857049882411
1,5,4,False,7.645718869753182e-05,0.0290018897503614,0.0024775378406047,0.001689891796559,0.9977675676345824,0.995513916015625,0.024516262114048,0.0271386858075857,0.0010000000474974,0.0131479166448116,0.0001106336567318,0.0625286549329757,0.001900945790112,0.000273936020676,0.9976351261138916,0.995249569416046,0.0546009242534637,0.0522548779845237,0.0104790786281228
1,6,5,False,0.0005880306125618,0.0799177512526512,0.0016854637069627,0.0074992254376411,0.998258113861084,0.9964715838432312,0.067323699593544,0.0791772380471229,0.0010000000474974,0.0104044890031218,0.0001301351439906,0.1059646680951118,0.0019321447471156,0.0003744009882211,0.9979392886161804,0.995848536491394,0.0921093523502349,0.0882506221532821,0.009603414684534
1,7,6,False,0.0004308859060984,0.1014029458165168,0.0087939808145165,0.01458858884871,0.9985824823379515,0.9970752000808716,0.0922369733452797,0.1066400036215782,0.0010000000474974,0.0091105140745639,0.0001698944397503,0.1178827509284019,0.0016460934421047,0.0004193226923234,0.9984779953956604,0.9969269633293152,0.099972128868103,0.0956361815333366,0.0072008878923952
1,8,7,False,0.0009876524563878,0.1307876259088516,0.0026628884952515,0.0202783420681953,0.9987775683403016,0.997465968132019,0.1218745559453964,0.1568060964345932,0.0010000000474974,0.0082780830562114,0.0003149745461996,0.0935499221086502,0.0010018849279731,0.0007902671350166,0.9991701245307922,0.9983340501785278,0.0756742507219314,0.0724706575274467,0.0047552436590194
1,9,8,False,0.0018916710978373,0.1671837270259857,0.01197225227952,0.021056180819869,0.9989226460456848,0.9977590441703796,0.1565660387277603,0.1691151261329651,0.0010000000474974,0.0073964684270322,0.000318737438647,0.1385240703821182,0.0019844921771436,0.0008017120417207,0.9991775751113892,0.998339056968689,0.1156562641263008,0.1140472367405891,0.0046631610020995
1,10,9,False,0.000346963352058,0.1911236345767974,0.0108967833220958,0.0134001495316624,0.9990103840827942,0.9979367256164552,0.1761724799871444,0.1935505867004394,0.0010000000474974,0.0070715271867811,0.0003573347057681,0.1685985475778579,0.0043385820463299,0.0009482455207034,0.9990110397338868,0.9979861974716188,0.1536472886800766,0.1529563069343567,0.0051175011321902
1,11,10,False,0.0013638428645208,0.2381186634302139,0.0187249034643173,0.0350156277418136,0.9991247057914734,0.9981346130371094,0.2264619022607803,0.2601978182792663,0.0010000000474974,0.0063578556291759,0.0006767960148863,0.1960833370685577,0.0021211933344602,0.0012505934573709,0.9994155168533324,0.9988117218017578,0.1799291223287582,0.1831602454185485,0.0036197134759277
1,12,11,False,0.0008679774473421,0.2412773668766021,0.0102676879614591,0.0330080389976501,0.9991545081138612,0.9981969594955444,0.229921281337738,0.2629698514938354,0.0010000000474974,0.0062092770822346,0.0004027779214084,0.1467094719409942,0.001464178902097,0.0006838794215582,0.999008297920227,0.997992217540741,0.132639393210411,0.1311684101819992,0.0053014541044831
1,13,12,False,0.001216312055476,0.2489700019359588,0.0128729967400431,0.0304566156119108,0.9991538524627686,0.998214602470398,0.2361789643764495,0.2600510120391845,0.0010000000474974,0.006291133351624,0.0001333289401372,0.0376424416899681,0.0008443755214102,0.0001860158954514,0.9971585869789124,0.9943124651908876,0.033753003925085,0.0331261046230793,0.0129872905090451
1,14,13,False,0.0040000574663281,0.2241781055927276,0.0319803804159164,0.0664225295186042,0.9992157816886902,0.9983314275741576,0.2168036699295044,0.2517266869544983,0.0010000000474974,0.0059072053991258,0.0001531940506538,0.1260535269975662,0.0019540782086551,0.0004158462397754,0.9980606436729432,0.996106743812561,0.1041549295186996,0.0919520035386085,0.0090394224971532
1,15,14,False,0.0024367270525544,0.2901656925678253,0.0155857969075441,0.0712483450770378,0.999248743057251,0.9983950853347778,0.2795690596103668,0.2984293103218078,0.0010000000474974,0.0056307693012058,0.0009244292741641,0.1626293957233429,0.0071273827925324,0.0015354162314906,0.9995636343955994,0.9990676045417786,0.1685753017663955,0.2113606184720993,0.0033821815159171
