epoch,dice_ET,dice_NETC,dice_RC,dice_SNFH,dice_bg,dice_coef,dice_tumor_core,dice_whole_tumor,learning_rate,loss,val_dice_ET,val_dice_NETC,val_dice_RC,val_dice_SNFH,val_dice_bg,val_dice_coef,val_dice_tumor_core,val_dice_whole_tumor,val_loss
0,3.1776971809449606e-06,0.003256729105487466,0.0003108007076662034,0.00023103550483938307,0.8719495534896851,0.7727770209312439,0.003244613530114293,0.0032253817189484835,0.0010000000474974513,0.5651870965957642,2.658450284798164e-06,0.0007441831403411925,0.00016254530055448413,7.941950570966583e-06,0.9352065324783325,0.878271222114563,0.0006593544385395944,0.0006443887250497937,0.25412094593048096
1,1.5012474250397645e-05,0.003093597013503313,0.00022689675097353756,0.0004358098085504025,0.9860773086547852,0.9725071787834167,0.00287555786781013,0.0032368723768740892,0.0010000000474974513,0.05956263840198517,2.0835444956901483e-05,0.0018129643285647035,0.00024213107826653868,4.337468635640107e-05,0.9912718534469604,0.982684314250946,0.0015529844677075744,0.0017372273141518235,0.036841847002506256
2,2.5839479349087924e-05,0.004994556773453951,0.0004039346531499177,0.0009032224188558757,0.9944952130317688,0.9890322685241699,0.0042138476856052876,0.005052995402365923,0.0010000000474974513,0.026683993637561798,4.830337638850324e-05,0.00513958977535367,0.0003635071334429085,0.00011508994066389278,0.9961966276168823,0.992414653301239,0.004103905521333218,0.004102705046534538,0.01688067987561226
3,3.97757175960578e-05,0.015762990340590477,0.0005052394117228687,0.0013615662464872003,0.9968485832214355,0.9936997294425964,0.012368897907435894,0.013308498077094555,0.0010000000474974513,0.016768282279372215,8.314321894431487e-05,0.016378512606024742,0.0004751971864607185,0.000212369195651263,0.9977541565895081,0.9955086708068848,0.012523291632533073,0.012192352674901485,0.010485704988241196
4,7.645718869753182e-05,0.029001889750361443,0.002477537840604782,0.0016898917965590954,0.9977675676345825,0.995513916015625,0.024516262114048004,0.027138685807585716,0.0010000000474974513,0.01314791664481163,0.0001106336567318067,0.06252865493297577,0.0019009457901120186,0.0002739360206760466,0.9976351261138916,0.9952495694160461,0.054600924253463745,0.05225487798452377,0.010479078628122807
5,0.0005880306125618517,0.07991775125265121,0.0016854637069627643,0.007499225437641144,0.998258113861084,0.9964715838432312,0.067323699593544,0.07917723804712296,0.0010000000474974513,0.010404489003121853,0.00013013514399062842,0.10596466809511185,0.0019321447471156716,0.0003744009882211685,0.9979392886161804,0.995848536491394,0.09210935235023499,0.08825062215328217,0.009603414684534073
6,0.0004308859060984105,0.10140294581651688,0.008793980814516544,0.01458858884871006,0.9985824823379517,0.9970752000808716,0.0922369733452797,0.10664000362157822,0.0010000000474974513,0.00911051407456398,0.000169894439750351,0.11788275092840195,0.0016460934421047568,0.0004193226923234761,0.9984779953956604,0.9969269633293152,0.09997212886810303,0.09563618153333664,0.007200887892395258
7,0.0009876524563878775,0.13078762590885162,0.0026628884952515364,0.020278342068195343,0.9987775683403015,0.997465968132019,0.12187455594539642,0.1568060964345932,0.0010000000474974513,0.008278083056211472,0.0003149745461996645,0.09354992210865021,0.0010018849279731512,0.0007902671350166202,0.9991701245307922,0.9983340501785278,0.07567425072193146,0.07247065752744675,0.00475524365901947
8,0.0018916710978373885,0.16718372702598572,0.011972252279520035,0.02105618081986904,0.9989226460456848,0.9977590441703796,0.15656603872776031,0.1691151261329651,0.0010000000474974513,0.007396468427032232,0.0003187374386470765,0.13852407038211823,0.001984492177143693,0.000801712041720748,0.9991775751113892,0.998339056968689,0.11565626412630081,0.11404723674058914,0.004663161002099514
9,0.0003469633520580828,0.19112363457679749,0.010896783322095871,0.013400149531662464,0.9990103840827942,0.9979367256164551,0.17617247998714447,0.19355058670043945,0.0010000000474974513,0.007071527186781168,0.00035733470576815307,0.16859854757785797,0.004338582046329975,0.0009482455207034945,0.9990110397338867,0.9979861974716187,0.1536472886800766,0.1529563069343567,0.0051175011321902275
