epoch,dice_ET,dice_NETC,dice_RC,dice_SNFH,dice_bg,dice_coef,dice_tumor_core,dice_whole_tumor,learning_rate,loss,val_dice_ET,val_dice_NETC,val_dice_RC,val_dice_SNFH,val_dice_bg,val_dice_coef,val_dice_tumor_core,val_dice_whole_tumor,val_loss
0,0.00019948542467318475,0.005887449253350496,0.0007879302138462663,0.0006232559098862112,0.8858335614204407,0.7946727871894836,0.005548085551708937,0.006259106565266848,0.0010000000474974513,0.5178600549697876,2.1454634406836703e-06,0.0029277773573994637,0.00017391728761140257,0.0001539548102300614,0.9678665399551392,0.9376658797264099,0.0029397972393780947,0.0031866682693362236,0.13283886015415192
1,0.000546174356713891,0.030190924182534218,0.0022315692622214556,0.0014173233648762107,0.9916866421699524,0.9834141135215759,0.022329475730657578,0.022420136258006096,0.0010000000474974513,0.04137950763106346,5.406694981502369e-06,0.00018320453818887472,2.7713658710126765e-05,4.143656406085938e-05,0.8992454409599304,0.8169310092926025,0.00022324288147501647,0.0002482376294210553,0.3985896408557892
2,0.00051368388812989,0.0670493096113205,0.002047972520813346,0.0013343425234779716,0.9956728219985962,0.9913236498832703,0.05026412755250931,0.046902235597372055,0.0010000000474974513,0.025848517194390297,7.56159761294839e-06,0.0009127396042458713,1.8028888007393107e-05,1.698738196864724e-05,0.9826323986053467,0.9658441543579102,0.0009500870364718139,0.0009568908135406673,0.08281998336315155
3,0.001203575637191534,0.046655986458063126,0.007626610808074474,0.002445126883685589,0.9969543218612671,0.9938710331916809,0.04232664033770561,0.04309776797890663,0.0010000000474974513,0.020487409085035324,2.804585892590694e-05,0.010822511278092861,6.565609510289505e-05,0.0001790026726666838,0.9960088729858398,0.9920353293418884,0.009132333099842072,0.009119010530412197,0.023391345515847206
4,0.0014227671781554818,0.09529118239879608,0.005080827511847019,0.0028876473661512136,0.99765545129776,0.9952649474143982,0.08729062974452972,0.08526311814785004,0.0010000000474974513,0.01693722978234291,3.757864760700613e-05,0.0635954961180687,0.00014824663230683655,0.0015860582934692502,0.9958199858665466,0.9916365146636963,0.05384492129087448,0.05262066423892975,0.02033093385398388
5,0.0022309254854917526,0.14837893843650818,0.008899454958736897,0.0064684986136853695,0.9978088736534119,0.9955232739448547,0.14018791913986206,0.14056500792503357,0.0010000000474974513,0.01541904266923666,9.306398715125397e-05,0.05285002291202545,0.0017353050643578172,0.0028174598701298237,0.9981579780578613,0.9962886571884155,0.04802700877189636,0.05087742209434509,0.012338489294052124
6,0.0009248617570847273,0.1451941579580307,0.017176354303956032,0.003953940700739622,0.9978863000869751,0.9957113265991211,0.13481992483139038,0.1317211091518402,0.0010000000474974513,0.01566038839519024,9.161467460216954e-05,0.02288430742919445,0.0003444812318775803,0.0013083280064165592,0.9974583387374878,0.9948909282684326,0.02283472940325737,0.025854891166090965,0.017162272706627846
7,0.003224348183721304,0.2686533033847809,0.023355070501565933,0.008569278754293919,0.998242974281311,0.9963556528091431,0.2619820833206177,0.2609952390193939,0.0010000000474974513,0.012760619632899761,1.3710314306081273e-05,0.0006504409830085933,1.9657589291455224e-05,0.0001969695877050981,0.9369787573814392,0.8814202547073364,0.0006741837132722139,0.0007677777321077883,0.286823034286499
8,0.0030137498397380114,0.31989067792892456,0.04151143506169319,0.012174712494015694,0.9983488917350769,0.9964942932128906,0.32071080803871155,0.32501140236854553,0.0010000000474974513,0.012833913788199425,0.0004743600729852915,0.011611809022724628,0.00109535688534379,0.0007663605501875281,0.9990264177322388,0.998049795627594,0.0116993123665452,0.012569908984005451,0.017477544024586678
9,0.003958933986723423,0.31107524037361145,0.03730381652712822,0.012363499961793423,0.9985005855560303,0.9968475103378296,0.3133157193660736,0.3180558383464813,0.0010000000474974513,0.012184981256723404,0.0019074740121141076,0.06896758079528809,0.0017560821725055575,0.012297487817704678,0.9990953803062439,0.9981759786605835,0.0699905976653099,0.07920526713132858,0.008929114788770676
10,0.0047089350409805775,0.3525724411010742,0.030573662370443344,0.01371237076818943,0.9984659552574158,0.9967276453971863,0.358377069234848,0.36329546570777893,0.0010000000474974513,0.011639262549579144,6.369315997289959e-06,0.0001327374775428325,5.649496233672835e-05,6.144284270703793e-05,0.7508304715156555,0.6010640263557434,0.00014123233268037438,0.0001676783140283078,1.0311400890350342
11,0.005826794542372227,0.3613947033882141,0.03571128845214844,0.021685022860765457,0.998585045337677,0.9969788193702698,0.3677108585834503,0.37729325890541077,0.0010000000474974513,0.01118177454918623,0.0003855159447994083,0.11128952354192734,0.0031299584079533815,0.0008331210119649768,0.9989960193634033,0.9979283809661865,0.1113428846001625,0.12807050347328186,0.008860023692250252
12,0.007994118146598339,0.3675422668457031,0.0286477729678154,0.01707722432911396,0.9985975027084351,0.996998131275177,0.3757340908050537,0.38251158595085144,0.0010000000474974513,0.011227499693632126,0.00023322082415688783,0.19491316378116608,0.0035237481351941824,0.029993722215294838,0.9983571767807007,0.9965858459472656,0.1916438639163971,0.2108001410961151,0.00932697020471096
13,0.009168930351734161,0.4646743834018707,0.0433109849691391,0.02537127025425434,0.9987619519233704,0.9972790479660034,0.47853922843933105,0.49270132184028625,0.0010000000474974513,0.010011275298893452,0.0010170646710321307,0.19110600650310516,0.007064153905957937,0.043930500745773315,0.9992236495018005,0.998381495475769,0.1916915327310562,0.2213028371334076,0.009870201349258423
14,0.004081467166543007,0.28175532817840576,0.07275547087192535,0.011148860678076744,0.9983612895011902,0.9965675473213196,0.2810777425765991,0.2724066376686096,0.0010000000474974513,0.013298161327838898,8.913161764212418e-06,0.001834034570492804,5.553558003157377e-05,0.00019300918211229146,0.9367246627807617,0.8809646964073181,0.0017794071463868022,0.0019869101233780384,0.26368582248687744
15,0.011394323781132698,0.39932847023010254,0.0852203294634819,0.0238623209297657,0.9987415075302124,0.9972587823867798,0.40829646587371826,0.42021963000297546,0.0010000000474974513,0.010068720206618309,0.0010130988666787744,0.2923330068588257,0.044017888605594635,0.03343963995575905,0.9989779591560364,0.9978238940238953,0.29306739568710327,0.33638355135917664,0.00807831808924675
16,0.018071768805384636,0.49178293347358704,0.12332218885421753,0.03377437964081764,0.998954713344574,0.9975951910018921,0.5064688324928284,0.5290448069572449,0.0010000000474974513,0.009010719135403633,0.00023311551194638014,0.22982998192310333,0.0017508743330836296,0.007613730616867542,0.9961759448051453,0.9921515583992004,0.22835569083690643,0.23661254346370697,0.02035200037062168
17,0.013811510987579823,0.4085797071456909,0.05962974578142166,0.021697532385587692,0.9986457228660583,0.9970973134040833,0.42203161120414734,0.4281691312789917,0.0010000000474974513,0.01058148592710495,0.00023599309497512877,0.09907553344964981,0.0007571972673758864,0.022175295278429985,0.9985196590423584,0.9969713687896729,0.09649358689785004,0.1209949404001236,0.011947792023420334
18,0.01986631751060486,0.4920557141304016,0.12877821922302246,0.033927805721759796,0.99892657995224,0.9975661039352417,0.5109518766403198,0.5283264517784119,0.0010000000474974513,0.008979215286672115,0.0008921328699216247,0.17966674268245697,0.0013117322232574224,0.034186504781246185,0.9991126656532288,0.9981645345687866,0.18338026106357574,0.20697073638439178,0.008042831905186176
19,0.01648447848856449,0.5731076598167419,0.1449441909790039,0.040069371461868286,0.9990288615226746,0.9977781176567078,0.5886644124984741,0.6008536219596863,0.0010000000474974513,0.008055201731622219,0.0015229160198941827,0.17984043061733246,0.0015818359097465873,0.03742990642786026,0.9990543723106384,0.9980486631393433,0.1844455599784851,0.20757465064525604,0.007710844743996859
20,0.032421454787254333,0.4433981478214264,0.02072596177458763,0.04746849834918976,0.9988709688186646,0.9974486231803894,0.46347692608833313,0.48307591676712036,0.0010000000474974513,0.010070749558508396,0.001151748700067401,0.2869361340999603,0.012151711620390415,0.041680313646793365,0.998953104019165,0.9977989792823792,0.29151469469070435,0.3257446885108948,0.006987131666392088
