epoch,train_loss,train_dice_wt,train_dice_tc,train_dice_ET,train_dice_NETC,train_dice_SNFH,train_dice_RC,val_loss,val_dice_wt,val_dice_tc,val_dice_ET,val_dice_NETC,val_dice_SNFH,val_dice_RC,lr
42,0.7716,0.6855,0.639,0.1233,0.6405,0.4816,0.3057,1.204,0.4784,0.4115,0.0773,0.3975,0.3319,0.2066,0.0005
43,0.7614,0.7,0.6541,0.1241,0.656,0.4875,0.3105,1.273,0.5096,0.4506,0.0882,0.4395,0.2567,0.1793,0.0005
44,0.7571,0.7061,0.6594,0.1248,0.6616,0.4991,0.3235,1.4939,0.4274,0.3603,0.0836,0.3468,0.3149,0.1618,0.0005
45,0.7555,0.7023,0.6576,0.1298,0.6596,0.4889,0.3099,1.7896,0.327,0.2678,0.0711,0.258,0.2416,0.1469,0.0005
46,0.7577,0.7084,0.6614,0.1267,0.6641,0.4996,0.3081,1.2754,0.4942,0.433,0.0886,0.4197,0.2881,0.1546,0.0005
47,0.7467,0.7165,0.6715,0.1403,0.6734,0.505,0.317,1.1179,0.5004,0.4109,0.1264,0.3844,0.3104,0.2288,0.0005
48,0.745,0.7124,0.6639,0.1307,0.6661,0.4991,0.3365,1.2288,0.4776,0.4192,0.0996,0.4083,0.3199,0.1325,0.0005
49,0.7633,0.7002,0.6534,0.1366,0.6554,0.5048,0.3055,1.0348,0.5261,0.4406,0.114,0.4257,0.3508,0.2485,0.00025
50,0.7322,0.7155,0.6713,0.1422,0.6744,0.5121,0.3339,1.2681,0.3916,0.3113,0.1242,0.2922,0.369,0.1598,0.00025
51,0.7156,0.7184,0.6739,0.1605,0.6765,0.5243,0.3453,1.1945,0.4983,0.4343,0.1159,0.4248,0.325,0.1788,0.00025
52,0.7081,0.7302,0.6856,0.1683,0.6889,0.5392,0.3412,1.1482,0.5055,0.4282,0.142,0.4139,0.3844,0.1906,0.00025
53,0.7112,0.7344,0.689,0.1584,0.6918,0.5236,0.3505,1.0854,0.5397,0.4769,0.1598,0.4613,0.3623,0.1885,0.00025
54,0.7031,0.7359,0.6916,0.1618,0.6952,0.5389,0.3599,1.0266,0.5002,0.4245,0.1436,0.407,0.3359,0.2502,0.00025
55,0.6979,0.7369,0.6932,0.1746,0.695,0.5354,0.3606,1.0113,0.5673,0.4957,0.1627,0.4755,0.3656,0.2704,0.00025
56,0.7063,0.7343,0.69,0.1644,0.6914,0.5338,0.3551,1.3437,0.4907,0.4234,0.1057,0.4111,0.2848,0.1679,0.00025
57,0.7004,0.7389,0.6948,0.1657,0.6973,0.5276,0.3708,1.2467,0.49,0.4343,0.1294,0.42,0.3202,0.1836,0.00025
58,0.6939,0.7427,0.6992,0.1717,0.7011,0.5386,0.361,1.1388,0.498,0.4323,0.1456,0.4196,0.3773,0.1595,0.00025
59,0.6926,0.7421,0.6985,0.1759,0.7008,0.5383,0.3634,1.4222,0.5122,0.4324,0.095,0.4184,0.3191,0.1874,0.00025
60,0.6917,0.745,0.7016,0.1744,0.7047,0.5356,0.3759,1.2435,0.5309,0.4559,0.1529,0.4318,0.3466,0.2426,0.00025
61,0.6794,0.7461,0.7029,0.191,0.7051,0.5478,0.3769,1.289,0.5046,0.4361,0.1591,0.4167,0.3578,0.1544,0.00025
62,0.6827,0.7458,0.7027,0.1798,0.7051,0.5464,0.3841,1.2677,0.4999,0.417,0.1612,0.3927,0.3638,0.1887,0.00025
63,0.6831,0.7434,0.7,0.1854,0.702,0.541,0.3827,1.2672,0.5337,0.4591,0.15,0.44,0.3477,0.1713,0.00025
64,0.6758,0.748,0.707,0.1928,0.7096,0.5381,0.3877,1.3365,0.4889,0.4174,0.1187,0.4029,0.3192,0.1734,0.00025
65,0.6728,0.75,0.7081,0.198,0.7099,0.5534,0.3856,1.1927,0.5094,0.4396,0.1774,0.4201,0.3861,0.2022,0.00025
66,0.6747,0.7485,0.7061,0.1848,0.7088,0.5467,0.3971,1.3204,0.5319,0.4619,0.1377,0.4456,0.3353,0.1788,0.000125
67,0.6618,0.7575,0.7149,0.1939,0.7167,0.5506,0.4073,1.3078,0.5122,0.4441,0.129,0.4299,0.3304,0.1451,0.000125
68,0.6526,0.7601,0.7184,0.2052,0.7221,0.5614,0.4132,1.4884,0.4765,0.4076,0.1279,0.3944,0.3168,0.1387,0.000125
69,0.6523,0.7612,0.7184,0.1986,0.7206,0.568,0.4137,1.4552,0.5096,0.451,0.1018,0.4393,0.2537,0.1337,0.000125
70,0.6457,0.766,0.7256,0.2103,0.728,0.5641,0.4174,1.3549,0.5317,0.4591,0.1291,0.4455,0.3462,0.1974,0.000125
71,0.6474,0.7583,0.7168,0.2082,0.7195,0.5679,0.4229,1.2795,0.5326,0.4605,0.184,0.4435,0.3829,0.2031,0.000125
72,0.6386,0.7676,0.7247,0.2236,0.7265,0.5736,0.4262,1.1651,0.5702,0.5013,0.1788,0.4799,0.3707,0.246,0.000125
73,0.6404,0.7651,0.7254,0.2156,0.728,0.5707,0.4281,1.2387,0.5546,0.4724,0.1675,0.4534,0.3463,0.2009,0.000125
74,0.6381,0.7633,0.7225,0.2304,0.7247,0.567,0.4252,1.5333,0.4651,0.3944,0.1555,0.3802,0.3168,0.1708,0.000125
75,0.6334,0.7693,0.7283,0.2238,0.7306,0.5782,0.4289,1.2921,0.5222,0.4494,0.1753,0.4326,0.366,0.1584,0.000125
76,0.6356,0.7705,0.731,0.2226,0.7331,0.5673,0.4269,1.313,0.5385,0.4735,0.151,0.4613,0.3392,0.16,0.000125
77,0.6416,0.7695,0.7275,0.2075,0.7308,0.5753,0.4229,1.3701,0.5386,0.4692,0.1572,0.4562,0.3549,0.1968,0.000125
78,0.6289,0.7679,0.7283,0.2291,0.7306,0.5706,0.4397,1.415,0.5326,0.4626,0.1643,0.4444,0.3306,0.1786,0.000125
79,0.626,0.7701,0.7305,0.2289,0.7327,0.5741,0.4457,1.2626,0.5194,0.4496,0.179,0.4334,0.3686,0.1866,0.000125
80,0.6311,0.7737,0.7346,0.2261,0.736,0.5711,0.4399,1.2335,0.5519,0.4859,0.1771,0.4656,0.3299,0.2298,0.000125
81,0.6238,0.7704,0.7318,0.235,0.7334,0.5748,0.4405,1.2895,0.5274,0.4502,0.1898,0.4334,0.3859,0.1812,0.000125
82,0.626,0.774,0.7316,0.2279,0.7333,0.5746,0.4517,1.3725,0.5185,0.4539,0.1617,0.4399,0.3377,0.1408,0.000125
83,0.6286,0.7716,0.7322,0.2329,0.734,0.575,0.4286,1.3095,0.5399,0.4667,0.1827,0.4523,0.3734,0.1741,6.25e-05
84,0.6173,0.7754,0.7345,0.2389,0.7375,0.5835,0.4438,1.6047,0.4605,0.3949,0.1797,0.3813,0.3089,0.2152,6.25e-05
85,0.6162,0.78,0.7432,0.2349,0.744,0.5718,0.4489,1.587,0.4875,0.4217,0.1561,0.4104,0.2935,0.1914,6.25e-05
86,0.6143,0.7781,0.7378,0.2416,0.7399,0.5902,0.4533,1.3354,0.5319,0.4668,0.1563,0.4542,0.3331,0.1884,6.25e-05
87,0.6109,0.7808,0.7441,0.2489,0.7456,0.5784,0.4517,1.335,0.5083,0.4481,0.2031,0.4316,0.3453,0.2374,6.25e-05
88,0.6073,0.7817,0.744,0.2373,0.7459,0.5849,0.4646,1.2135,0.5767,0.5099,0.1814,0.4929,0.363,0.2116,6.25e-05
